config_label,sequence_anomaly_ratio,selected_threshold_percentile,validation_recall,validation_f1,validation_roc_auc,recall,f1,roc_auc
window5_hidden16_grid80_99,0.2858219178082192,80,0.4323630136986301,0.5085599194360524,0.7291937394445488,0.4468849840255591,0.5186558516801854,0.7305122864797398
window5_hidden16_grid85_95,0.2858219178082192,85,0.3655821917808219,0.4792368125701459,0.7291937394445488,0.371405750798722,0.4888304862023653,0.7305122864797398
window5_hidden32_grid85_95,0.2858219178082192,85,0.3698630136986301,0.4848484848484848,0.7338786005817226,0.384185303514377,0.4957485184230868,0.7356670184482322
window5_hidden32_epochs10_grid85_95,0.2858219178082192,85,0.3972602739726027,0.5207631874298541,0.7627974584818915,0.3953674121405751,0.5224274406332454,0.7612075155454597
