epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_threshold,validation_threshold_percentile,improved
1,1.707425490547629,0.7274220032840722,0.3283914010378058,0.4525025536261491,0.7208827720247988,1.4844481945037842,85,1
2,0.9741648449617274,0.7438423645320197,0.33580429948109713,0.4627170582226762,0.71689208422212,1.3818790912628174,85,1
3,0.9478267957182491,0.7487684729064039,0.3380281690140845,0.46578140960163433,0.7207095491858526,1.343422770500183,85,1
4,0.9089936845442828,0.7487684729064039,0.3380281690140845,0.46578140960163433,0.7191416569072162,1.2886344194412231,85,0
5,0.8649852128589854,0.7586206896551724,0.3424759080800593,0.47191011235955055,0.7195426534238922,1.2355355024337769,85,1
6,0.8345226336927974,0.7619047619047619,0.34395848776871757,0.473953013278856,0.7205925178124211,1.213711142539978,85,1
7,0.8137169192819035,0.7602627257799671,0.34321719792438843,0.4729315628192033,0.7214353897951377,1.1948729753494263,85,0
8,0.7943525384454166,0.7602627257799671,0.34321719792438843,0.4729315628192033,0.7211216199329585,1.1691848039627075,85,0
9,0.7774390213629778,0.7586206896551724,0.3424759080800593,0.47191011235955055,0.722032851362773,1.1564712524414062,85,0
10,0.7634471893310547,0.7684729064039408,0.3469236471460341,0.4780388151174668,0.724204084121495,1.1355020999908447,85,1
