run_label,sequence_length,feature_count,feature_columns,epochs,hidden_size,batch_size,learning_rate,train_size,train_inner_size,train_normal_count,validation_size,validation_anomaly_ratio,checked_threshold_percentiles,selected_threshold_percentile,threshold,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,reference_recall,reference_f1,reference_roc_auc,delta_recall,delta_f1,delta_roc_auc,train_sequence_count,test_sequence_count,sequence_count,sequence_anomaly_count,sequence_anomaly_ratio,epochs_requested,epochs_completed,best_epoch,early_stopping_patience,selection_metric,stopped_early,experiment_tag,artifact_suffix,early_stopping_enabled
2026-05-18T12:10:33.775286+00:00,10,10,bytes_sent|bytes_received|hour|is_weekend|user_id_encoded|source_ip_encoded|destination_ip_encoded|event_type_encoded|login_status_encoded|protocol_encoded,5,16,128,0.001,19740,15792,8034,3948,0.4913880445795339,80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,80,154330.984375,0.5385964912280702,0.2215540052922781,0.3139594341230612,0.5071010759370291,0.5417721518987342,0.2206185567010309,0.3135531135531135,0.5120322832381813,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.1332691845080587,0.1598872258946816,-5.74421200061348e-05,,,,,,,,,,,,,,
2026-05-18T12:16:08.904759+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,5,16,128,0.001,20440,16352,11678,4088,0.2857142857142857,80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,80,1.101030707359314,0.6178906681391496,0.4468849840255591,0.5186558516801854,0.7305122864797398,0.617359413202934,0.4323630136986301,0.5085599194360524,0.7291937394445488,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3586001632413397,0.3645836434518058,0.2233537684227045,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,,,,,,,,,
2026-05-18T12:16:18.545394+00:00,6,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,5,16,128,0.001,20300,16240,10845,4060,0.3322660098522167,80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,80,1.1593348979949951,0.6818437324339517,0.4197231833910034,0.5195973441850503,0.7301787277632527,0.6785714285714286,0.4084507042253521,0.5099490976399815,0.7207628695545889,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.331438362606784,0.3655251359566708,0.2230202097062174,20500.0,8500.0,29000.0,9634.0,0.3322068965517241,,,,,,,,,
2026-05-18T12:16:29.503235+00:00,8,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,5,16,128,0.001,20020,16016,9332,4004,0.4173326673326673,80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,80,1.2270011901855469,0.7867647058823529,0.3885474860335196,0.5201944652206433,0.7291094134078213,0.7852684144818977,0.3764213046080191,0.5088996763754046,0.7212340926877732,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3002626652493002,0.3661222569922637,0.221950895350786,20300.0,8300.0,28600.0,11935.0,0.4173076923076923,,,,,,,,,
2026-05-18T12:16:41.224962+00:00,10,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,5,16,128,0.001,19740,15792,8034,3948,0.4913880445795339,80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,80,1.254011154174805,0.8406720741599073,0.3490497955256194,0.4932857385687574,0.7140353768546887,0.8468354430379746,0.3448453608247422,0.4901098901098901,0.714787756191728,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2607649747414,0.3392135303403779,0.2068768587976533,20100.0,8100.0,28200.0,13855.0,0.4913120567375886,,,,,,,,,
2026-05-18T12:17:32.639887+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,5,16,128,0.001,20440,16352,11678,4088,0.2857142857142857,80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99,80,1.101030707359314,0.6178906681391496,0.4468849840255591,0.5186558516801854,0.7305122864797398,0.617359413202934,0.4323630136986301,0.5085599194360524,0.7291937394445488,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3586001632413397,0.3645836434518058,0.2233537684227045,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,,,,,,,,,
2026-05-18T12:22:23.438652+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,5,16,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,1.1921772956848145,0.7148347425057648,0.371405750798722,0.4888304862023653,0.7305122864797398,0.6954397394136808,0.3655821917808219,0.4792368125701459,0.7291937394445488,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2831209300145026,0.3347582779739858,0.2233537684227045,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,,,,,,,,,
2026-05-18T12:22:32.639842+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,5,32,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,1.0538228750228882,0.6986201888162672,0.384185303514377,0.4957485184230868,0.7356670184482322,0.7035830618892508,0.3698630136986301,0.4848484848484848,0.7338786005817226,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2959004827301576,0.3416763101947073,0.2285085003911969,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,,,,,,,,,
2026-05-18T12:22:49.919574+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,32,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.7508304715156555,0.7698289269051322,0.3953674121405751,0.5224274406332454,0.7612075155454597,0.755700325732899,0.3972602739726027,0.5207631874298541,0.7627974584818915,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3070825913563557,0.3683552324048659,0.2540489974884244,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,,,,,,,,,
2026-05-18T12:32:46.273951+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,32,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.8010410070419312,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3074819523787199,0.3677813989332845,0.2517924417372171,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,14.0,9.0,5.0,f1,1.0,,,
