sequence_length,sequence_count,sequence_anomaly_count,sequence_anomaly_ratio,validation_recall,validation_f1,validation_roc_auc,recall,f1,roc_auc,selected_threshold_percentile
5,29200.0,8346.0,0.2858219178082192,0.4323630136986301,0.5085599194360524,0.7291937394445488,0.4468849840255591,0.5186558516801854,0.7305122864797398,80
6,29000.0,9634.0,0.3322068965517241,0.4084507042253521,0.5099490976399815,0.7207628695545889,0.4197231833910034,0.5195973441850503,0.7301787277632527,80
8,28600.0,11935.0,0.4173076923076923,0.3764213046080191,0.5088996763754046,0.7212340926877732,0.3885474860335196,0.5201944652206433,0.7291094134078213,80
10,28200.0,13855.0,0.4913120567375886,0.3448453608247422,0.4901098901098901,0.714787756191728,0.3490497955256194,0.4932857385687574,0.7140353768546887,80
