sequence_length,hidden_size,epochs,batch_size,learning_rate,experiment_tag,epochs_completed,best_epoch,selected_threshold_percentile,sequence_anomaly_ratio,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,stopped_early
5,16,20,128,0.001,stage8_full_grid_07,20,20,85,0.2858219178082192,0.7631378522467631,0.4001597444089457,0.5250196489389573,0.7557111945695072,0.758957654723127,0.398972602739726,0.5230078563411896,0.7618861711859637,0
5,32,10,128,0.001,stage8_full_grid_15,10,9,85,0.2858219178082192,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,0
5,32,20,128,0.001,stage8_full_grid_19,14,9,85,0.2858219178082192,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,1
5,32,30,128,0.001,stage8_full_grid_23,14,9,85,0.2858219178082192,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,1
5,32,20,128,0.0005,stage8_full_grid_20,20,15,85,0.2858219178082192,0.7623839009287926,0.393370607028754,0.5189673340358272,0.7630897022564408,0.7687296416938111,0.4041095890410959,0.5297418630751964,0.7644109764965284,0
5,32,30,128,0.0005,stage8_full_grid_24,20,15,85,0.2858219178082192,0.7623839009287926,0.393370607028754,0.5189673340358272,0.7630897022564408,0.7687296416938111,0.4041095890410959,0.5297418630751964,0.7644109764965284,1
5,16,10,64,0.001,stage8_full_grid_01,10,10,85,0.2858219178082192,0.7517294388931591,0.3905750798722044,0.514060446780552,0.7522650779213617,0.747557003257329,0.3929794520547945,0.5151515151515151,0.7582156595984237,0
5,32,10,64,0.0005,stage8_full_grid_14,10,8,85,0.2858219178082192,0.7505791505791506,0.3881789137380191,0.5117136088444327,0.7599833233578193,0.752442996742671,0.3955479452054795,0.5185185185185185,0.7605536920623006,0
6,16,20,64,0.001,stage8_full_grid_29,20,17,85,0.3322068965517241,0.8128787878787879,0.371280276816609,0.5097387173396675,0.7565072449958014,0.8160919540229885,0.3684210526315789,0.5076608784473953,0.7439435580654714,0
6,32,10,64,0.001,stage8_full_grid_37,10,10,85,0.3322068965517241,0.7946428571428571,0.3695501730103806,0.5044874822862542,0.7650866838585186,0.7996715927750411,0.3610081541882876,0.4974463738508682,0.7546415380984973,0
6,16,10,64,0.001,stage8_full_grid_25,10,10,85,0.3322068965517241,0.7928730512249443,0.3695501730103806,0.5041302808590984,0.7445376960139123,0.7816091954022989,0.3528539659006671,0.4862104187946884,0.7345660091125877,0
5,16,10,128,0.001,stage8_full_grid_03,10,10,85,0.2858219178082192,0.7081824764663287,0.3905750798722044,0.5034749034749034,0.739378279918371,0.7084690553745928,0.3724315068493151,0.4882154882154882,0.7402709525708389,0
5,16,20,64,0.0005,stage8_full_grid_06,16,11,85,0.2858219178082192,0.7128129602356407,0.3865814696485623,0.5012946659761781,0.7442957636068734,0.7263843648208469,0.3818493150684932,0.500561167227834,0.7453341973165697,1
5,16,30,64,0.0005,stage8_full_grid_10,16,11,85,0.2858219178082192,0.7128129602356407,0.3865814696485623,0.5012946659761781,0.7442957636068734,0.7263843648208469,0.3818493150684932,0.500561167227834,0.7453341973165697,1
5,32,10,128,0.0005,stage8_full_grid_16,10,10,85,0.2858219178082192,0.7067448680351907,0.3849840255591054,0.4984488107549121,0.7415276223004829,0.7182410423452769,0.3775684931506849,0.494949494949495,0.7454860785325577,0
8,16,20,64,0.0005,stage8_full_grid_54,20,17,85,0.4173076923076923,0.8806818181818182,0.3463687150837989,0.4971932638331997,0.7395693016759777,0.891846921797005,0.3207660083782166,0.4718309859154929,0.7334811615816879,0
8,16,30,64,0.0005,stage8_full_grid_58,22,17,85,0.4173076923076923,0.8806818181818182,0.3463687150837989,0.4971932638331997,0.7395693016759777,0.891846921797005,0.3207660083782166,0.4718309859154929,0.7334811615816879,1
8,32,10,64,0.001,stage8_full_grid_61,10,10,85,0.4173076923076923,0.8983918128654971,0.3432960893854748,0.4967663702506063,0.7487416759776535,0.9051580698835274,0.3255535607420706,0.4788732394366197,0.7437755278196961,0
5,16,10,64,0.0005,stage8_full_grid_02,10,10,85,0.2858219178082192,0.6989090909090909,0.3837859424920127,0.4954885279711266,0.7396807052450096,0.7133550488599348,0.375,0.4915824915824915,0.7398946214111466,0
8,32,20,64,0.001,stage8_full_grid_65,17,12,85,0.4173076923076923,0.9069940476190476,0.3405027932960894,0.4951259138911454,0.7549501396648045,0.9101497504159732,0.3273488928785159,0.4815140845070422,0.7435532595962029,1
8,32,30,64,0.001,stage8_full_grid_69,17,12,85,0.4173076923076923,0.9069940476190476,0.3405027932960894,0.4951259138911454,0.7549501396648045,0.9101497504159732,0.3273488928785159,0.4815140845070422,0.7435532595962029,1
8,32,20,64,0.0005,stage8_full_grid_66,20,18,85,0.4173076923076923,0.8963235294117647,0.3405027932960894,0.4935222672064777,0.7532424301675977,0.9068219633943428,0.3261520047875523,0.4797535211267605,0.7452149486346216,0
8,32,30,64,0.0005,stage8_full_grid_70,23,18,85,0.4173076923076923,0.8963235294117647,0.3405027932960894,0.4935222672064777,0.7532424301675977,0.9068219633943428,0.3261520047875523,0.4797535211267605,0.7452149486346216,1
