experiment_number,experiment_tag,artifact_suffix,goal,feature_set_name,feature_columns,removed_lstm_features,sequence_length,hidden_size,epochs,batch_size,learning_rate,early_stopping_patience,early_stopping_enabled,threshold_selection_method,threshold_percentiles_checked,threshold_percentile,threshold,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,train_size,validation_size,test_size,train_pool_size,epochs_completed,best_epoch,stopped_early,result_level,delta_recall_vs_reference,delta_f1_vs_reference,delta_roc_auc_vs_reference
1,stage10_practical_exp01,exp01,Check whether dropping user_id/source_ip/destination_ip from LSTM features helps by itself.,lstm_without_user_and_ip_identifiers,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,user_id_encoded|source_ip_encoded|destination_ip_encoded,10,16,10,128,0.001,0,0,validation_percentile_search,85|90|92|95,85,1.2879856824874878,0.9220183486238532,0.2901130623045465,0.4413540713632204,0.717746305521303,0.9173693086003372,0.2804123711340206,0.4295302013422818,0.7181031030517107,15792,3948,8460,19740,10,8,0,real_improvement,0.20182824152032708,0.2872818631348409,0.21058778746426776
2,stage10_practical_exp02,exp02,Check whether a shorter sequence window of 5 helps.,lstm_without_user_and_ip_identifiers,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,user_id_encoded|source_ip_encoded|destination_ip_encoded,5,16,10,128,0.001,0,0,validation_percentile_search,85|90|92|95,85,1.028598070144653,0.7081824764663287,0.3905750798722044,0.5034749034749034,0.739378279918371,0.7084690553745928,0.3724315068493151,0.4882154882154882,0.7402709525708389,16352,4088,8760,20440,10,10,0,real_improvement,0.302290259087985,0.3494026952465239,0.23221976186133575
3,stage10_practical_exp03,exp03,Check whether sequence length 6 is a better compromise than 5.,lstm_without_user_and_ip_identifiers,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,user_id_encoded|source_ip_encoded|destination_ip_encoded,6,16,10,128,0.001,0,0,validation_percentile_search,85|90|92|95,85,1.1355020999908447,0.7702001482579689,0.359515570934256,0.490209955178108,0.7331699908879215,0.7684729064039408,0.3469236471460341,0.4780388151174668,0.724204084121495,16240,4060,8700,20300,10,10,0,real_improvement,0.2712307501500366,0.3361377469497285,0.22601147283088618
4,stage10_practical_exp04,exp04,Check whether increasing hidden_size to 32 improves capacity.,lstm_without_user_and_ip_identifiers,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,user_id_encoded|source_ip_encoded|destination_ip_encoded,5,32,10,128,0.001,0,0,validation_percentile_search,85|90|92|95,85,0.8010410070419312,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,16352,4088,8760,20440,10,9,0,real_improvement,0.3074819523787199,0.36778139893328454,0.25179244173721715
5,stage10_practical_exp05,exp05,Check whether 20 epochs with early stopping improve the best setup so far.,lstm_without_user_and_ip_identifiers,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,user_id_encoded|source_ip_encoded|destination_ip_encoded,5,32,20,128,0.001,5,1,validation_percentile_search,85|90|92|95,85,0.8010410070419312,0.7658423493044823,0.3957667731629393,0.5218536071616641,0.7589509597942524,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,16352,4088,8760,20440,14,9,1,real_improvement,0.3074819523787199,0.36778139893328454,0.25179244173721715
6,stage10_practical_exp06,exp06,Check whether longer training at lower learning rate still helps.,lstm_without_user_and_ip_identifiers,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,user_id_encoded|source_ip_encoded|destination_ip_encoded,5,32,30,128,0.0005,5,1,validation_percentile_search,85|90|92|95,85,0.7972569465637207,0.7623839009287926,0.393370607028754,0.5189673340358272,0.7630897022564408,0.7687296416938111,0.4041095890410959,0.5297418630751964,0.7644109764965284,16352,4088,8760,20440,20,15,1,real_improvement,0.3050857862445346,0.36489512580744765,0.2559311841994055
