epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_threshold,validation_threshold_percentile,improved
1,1.412390573517136,0.6710097719869706,0.3527397260273973,0.4624017957351291,0.7221174821730155,1.3965708017349243,85,1
2,0.9328947138527165,0.6921824104234527,0.3638698630136986,0.4769921436588103,0.7306632928316757,1.297404408454895,85,1
3,0.8301263218340666,0.6970684039087948,0.3664383561643836,0.48035914702581367,0.7302000258022142,1.1790382862091064,85,1
4,0.7656515143487764,0.6938110749185668,0.3647260273972603,0.4781144781144781,0.7276001595045974,1.115838885307312,85,0
5,0.7137548904056135,0.7068403908794788,0.3715753424657534,0.48709315375982043,0.7338296350159506,1.0520957708358765,85,1
6,0.660786395487578,0.7214983713355049,0.3792808219178082,0.49719416386083054,0.7409167409457684,1.0034288167953491,85,1
7,0.6106506650862487,0.7166123778501629,0.3767123287671233,0.49382716049382713,0.7468310189528993,0.9401710629463196,85,0
8,0.5472269249351128,0.7345276872964169,0.3861301369863014,0.5061728395061729,0.7528924868643272,0.8650789260864258,85,1
9,0.49243781942388287,0.7654723127035831,0.4023972602739726,0.5274971941638609,0.7588378448114093,0.8010410070419312,85,1
10,0.44165814052457397,0.757328990228013,0.3981164383561644,0.5218855218855218,0.7631778945393132,0.7436871528625488,85,0
11,0.3990602801027505,0.755700325732899,0.3972602739726027,0.5207631874298541,0.7671256333270782,0.7058151960372925,85,0
12,0.3708243360338004,0.750814332247557,0.3946917808219178,0.5173961840628507,0.7736377603677989,0.6870319843292236,85,0
13,0.34854553866645566,0.744299674267101,0.3912671232876712,0.5129068462401796,0.7782285020641772,0.6591194272041321,85,0
14,0.33054480312959006,0.755700325732899,0.3972602739726027,0.5207631874298541,0.7820721523738037,0.6301327347755432,85,0
