epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_threshold,validation_threshold_percentile,improved
1,1.6785985898712408,0.6612377850162866,0.3476027397260274,0.4556677890011223,0.7254899488647026,1.4638102054595947,85,1
2,0.9732660690079564,0.6677524429967426,0.351027397260274,0.4601571268237935,0.7218934720397823,1.3811092376708984,85,1
3,0.9279672820930895,0.6889250814332247,0.3621575342465753,0.47474747474747475,0.7287194771533121,1.3140243291854858,85,1
4,0.8563650930705278,0.6938110749185668,0.3647260273972603,0.4781144781144781,0.7282701374554326,1.2282758951187134,85,1
5,0.8114936546139095,0.6954397394136808,0.3655821917808219,0.4792368125701459,0.7294492693282041,1.192555546760559,85,1
6,0.7853312032378238,0.7052117263843648,0.3707191780821918,0.48597081930415265,0.7311113130981424,1.1631181240081787,85,1
7,0.7613199955743292,0.6986970684039088,0.3672945205479452,0.48148148148148145,0.7303501477763182,1.1354520320892334,85,0
8,0.7368448272995327,0.7035830618892508,0.3698630136986301,0.48484848484848486,0.7329860785325577,1.1052271127700806,85,0
9,0.7106425872315532,0.6970684039087948,0.3664383561643836,0.48035914702581367,0.7369769187464815,1.0715004205703735,85,0
10,0.6837196473194205,0.7084690553745928,0.3724315068493151,0.4882154882154882,0.7402709525708389,1.0285980701446533,85,1
